"filename", "language", "JSON", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "Markdown", "CSS", "HTML", "TypeScript JSX", "JavaScript JSX", "CMake", "C++", "XML", "comment", "blank", "total"
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\libavcodec.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 13, 75
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\libavdevice.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 13, 72
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\libavfilter.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 13, 71
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\libavformat.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 13, 75
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\libavutil.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 14, 94
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\libswresample.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 1, 16, 94
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\libswscale.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 1, 16, 88
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\mailing-list-faq.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 1, 71, 444
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\nut.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 1, 22, 215
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\platform.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 1, 54, 391
